KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K05584	PF11210	Low	map00190	Oxidative phosphorylation	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	494
K05584	PF11210	Low	map01100	Metabolic pathways	ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	396	494
K05585	PF11210	High	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	494
K05585	PF11210	High	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	494
K08903	PF11210	Low	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	494
K02285	PF11237	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	NA
K02285	PF11237	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	NA
K02643	PF11237	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	NA
K02643	PF11237	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	NA
K02691	PF11237	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	NA
K02691	PF11237	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	NA
K02692	PF11237	Low	map00195	Photosynthesis	psaD; photosystem I subunit II	401	NA
K02692	PF11237	Low	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	NA
K02693	PF11237	Low	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	NA
K02693	PF11237	Low	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	NA
K02694	PF11237	Low	map00195	Photosynthesis	psaF; photosystem I subunit III	391	NA
K02694	PF11237	Low	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	NA
K02704	PF11237	Low	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	NA
K02704	PF11237	Low	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	NA
K02705	PF11237	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	NA
K02705	PF11237	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	NA
K02706	PF11237	Low	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	NA
K02706	PF11237	Low	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	NA
K02707	PF11237	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	NA
K02707	PF11237	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	NA
K02708	PF11237	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	NA
K02708	PF11237	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	NA
K02711	PF11237	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	NA
K02714	PF11237	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	NA
K02716	PF11237	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	NA
K02724	PF11237	Low	map00195	Photosynthesis	psbZ; photosystem II PsbZ protein	376	NA
K05370	PF11237	Low	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	NA
K05370	PF11237	Low	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	NA
K05377	PF11237	Low	map00196	Photosynthesis - antenna proteins	cpeB, mpeB; phycoerythrin beta chain	208	NA
K05377	PF11237	Low	map01100	Metabolic pathways	cpeB, mpeB; phycoerythrin beta chain	208	NA
K05382	PF11237	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	NA
K05382	PF11237	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	NA
K05583	PF11237	High	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	NA
K05583	PF11237	High	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	NA
K05585	PF11237	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	NA
K05585	PF11237	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	NA
K14254	PF11238	Low	map00253	Tetracycline biosynthesis	oxyQ; aminotransferase	3171	75
K14254	PF11238	Low	map01057	Biosynthesis of type II polyketide products	oxyQ; aminotransferase	3171	75
K14254	PF11238	Low	map01100	Metabolic pathways	oxyQ; aminotransferase	3171	75
K14254	PF11238	Low	map01130	Biosynthesis of antibiotics	oxyQ; aminotransferase	3171	75
K02092	PF11267	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	59
K02092	PF11267	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	59
K02094	PF11267	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	59
K02094	PF11267	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	59
K02095	PF11267	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	59
K02095	PF11267	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	59
K02096	PF11267	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	59
K02096	PF11267	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	59
K02285	PF11267	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	59
K02285	PF11267	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	59
K02634	PF11267	High	map00195	Photosynthesis	petA; apocytochrome f	402	59
K02634	PF11267	High	map01100	Metabolic pathways	petA; apocytochrome f	402	59
K02643	PF11267	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	59
K02643	PF11267	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	59
K02689	PF11267	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	59
K02689	PF11267	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	59
K02690	PF11267	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	59
K02690	PF11267	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	59
K02691	PF11267	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	59
K02691	PF11267	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	59
K02692	PF11267	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	59
K02692	PF11267	High	map01100	Metabolic pathways	psaD; photosystem I subunit II	401	59
K02693	PF11267	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	59
K02693	PF11267	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	59
K02694	PF11267	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	59
K02694	PF11267	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	59
K02696	PF11267	Low	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	59
K02697	PF11267	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	59
K02699	PF11267	Low	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	59
K02700	PF11267	High	map00195	Photosynthesis	psaM; photosystem I subunit XII	285	59
K02704	PF11267	High	map00195	Photosynthesis	psbB; photosystem II CP47 chlorophyll apoprotein	399	59
K02704	PF11267	High	map01100	Metabolic pathways	psbB; photosystem II CP47 chlorophyll apoprotein	399	59
K02705	PF11267	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	59
K02705	PF11267	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	59
K02706	PF11267	High	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	59
K02706	PF11267	High	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	59
K02707	PF11267	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	59
K02707	PF11267	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	59
K02708	PF11267	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	59
K02708	PF11267	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	59
K02709	PF11267	High	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	59
K02710	PF11267	Low	map00195	Photosynthesis	psbI; photosystem II PsbI protein	251	59
K02711	PF11267	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	59
K02712	PF11267	High	map00195	Photosynthesis	psbK; photosystem II PsbK protein	348	59
K02713	PF11267	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	59
K02714	PF11267	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	59
K02716	PF11267	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	59
K02717	PF11267	High	map00195	Photosynthesis	psbP; photosystem II oxygen-evolving enhancer protein 2	372	59
K02718	PF11267	High	map00195	Photosynthesis	psbT; photosystem II PsbT protein	310	59
K02719	PF11267	Low	map00195	Photosynthesis	psbU; photosystem II PsbU protein	337	59
K02722	PF11267	High	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	59
K05382	PF11267	Low	map00196	Photosynthesis - antenna proteins	cpeS; phycoerythrin-associated linker protein	395	59
K05382	PF11267	Low	map01100	Metabolic pathways	cpeS; phycoerythrin-associated linker protein	395	59
K05583	PF11267	High	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	59
K05583	PF11267	High	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	59
K05585	PF11267	High	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	59
K05585	PF11267	High	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	59
K08902	PF11267	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	59
K08903	PF11267	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	59
K10922	PF11269	High	map05111	Biofilm formation - Vibrio cholerae	toxS; transmembrane regulatory protein ToxS	263	71
K10940	PF11269	High	map05111	Biofilm formation - Vibrio cholerae	ompT; outer membrane protein OmpT	92	71
K02643	PF11282	Low	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	18
K02643	PF11282	Low	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	18
K02689	PF11282	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	18
K02689	PF11282	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	18
K02690	PF11282	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	18
K02690	PF11282	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	18
K02691	PF11282	Low	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	18
K02691	PF11282	Low	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	18
K02693	PF11282	High	map00195	Photosynthesis	psaE; photosystem I subunit IV	390	18
K02693	PF11282	High	map01100	Metabolic pathways	psaE; photosystem I subunit IV	390	18
K02696	PF11282	High	map00195	Photosynthesis	psaI; photosystem I subunit VIII	305	18
K02697	PF11282	Low	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	18
K02699	PF11282	Low	map00195	Photosynthesis	psaL; photosystem I subunit XI	400	18
K02705	PF11282	Low	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	18
K02705	PF11282	Low	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	18
K02706	PF11282	High	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	18
K02706	PF11282	High	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	18
K02707	PF11282	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	18
K02707	PF11282	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	18
K02708	PF11282	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	18
K02708	PF11282	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	18
K02711	PF11282	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	18
K02716	PF11282	Low	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	18
K02722	PF11282	High	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	18
K02723	PF11282	Low	map00195	Photosynthesis	psbY; photosystem II PsbY protein	332	18
K02724	PF11282	Low	map00195	Photosynthesis	psbZ; photosystem II PsbZ protein	376	18
K05370	PF11282	High	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	18
K05370	PF11282	High	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	18
K05583	PF11282	High	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	18
K05583	PF11282	High	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	18
K05585	PF11282	Low	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	18
K05585	PF11282	Low	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	18
K08902	PF11282	High	map00195	Photosynthesis	psb27; photosystem II Psb27 protein	395	18
K08903	PF11282	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	18
K14254	PF11305	Low	map00253	Tetracycline biosynthesis	oxyQ; aminotransferase	3171	NA
K14254	PF11305	Low	map01057	Biosynthesis of type II polyketide products	oxyQ; aminotransferase	3171	NA
K14254	PF11305	Low	map01100	Metabolic pathways	oxyQ; aminotransferase	3171	NA
K14254	PF11305	Low	map01130	Biosynthesis of antibiotics	oxyQ; aminotransferase	3171	NA
K02092	PF11317	High	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	6
K02092	PF11317	High	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	6
K02093	PF11317	Low	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	6
K02093	PF11317	Low	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	6
K02094	PF11317	High	map00196	Photosynthesis - antenna proteins	apcC; phycobilisome core linker protein	322	6
K02094	PF11317	High	map01100	Metabolic pathways	apcC; phycobilisome core linker protein	322	6
K02095	PF11317	High	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	6
K02095	PF11317	High	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	6
K02096	PF11317	High	map00196	Photosynthesis - antenna proteins	apcE; phycobilisome core-membrane linker protein	316	6
K02096	PF11317	High	map01100	Metabolic pathways	apcE; phycobilisome core-membrane linker protein	316	6
K02097	PF11317	Low	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	6
K02097	PF11317	Low	map01100	Metabolic pathways	apcF; phycobilisome core component	334	6
K02285	PF11317	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	6
K02285	PF11317	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	6
K02288	PF11317	Low	map00196	Photosynthesis - antenna proteins	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	6
K02288	PF11317	Low	map01100	Metabolic pathways	cpcE; phycocyanobilin lyase subunit alpha [EC:4.4.1.32]	301	6
K02289	PF11317	Low	map00196	Photosynthesis - antenna proteins	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	6
K02289	PF11317	Low	map01100	Metabolic pathways	cpcF; phycocyanobilin lyase subunit beta [EC:4.4.1.32]	301	6
K02629	PF11317	Low	map00196	Photosynthesis - antenna proteins	pecB; phycoerythrocyanin beta chain	321	6
K02629	PF11317	Low	map01100	Metabolic pathways	pecB; phycoerythrocyanin beta chain	321	6
K02631	PF11317	Low	map00196	Photosynthesis - antenna proteins	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	6
K02631	PF11317	Low	map01100	Metabolic pathways	pecE; phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase subunit PecE [EC:4.4.1.31]	292	6
K02634	PF11317	High	map00195	Photosynthesis	petA; apocytochrome f	402	6
K02634	PF11317	High	map01100	Metabolic pathways	petA; apocytochrome f	402	6
K02640	PF11317	High	map00195	Photosynthesis	petG; cytochrome b6-f complex subunit 5	192	6
K02640	PF11317	High	map01100	Metabolic pathways	petG; cytochrome b6-f complex subunit 5	192	6
K02643	PF11317	High	map00195	Photosynthesis	petM; cytochrome b6-f complex subunit 7	326	6
K02643	PF11317	High	map01100	Metabolic pathways	petM; cytochrome b6-f complex subunit 7	326	6
K02689	PF11317	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	6
K02689	PF11317	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	6
K02690	PF11317	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	6
K02690	PF11317	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	6
K02691	PF11317	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	6
K02691	PF11317	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	6
K02692	PF11317	High	map00195	Photosynthesis	psaD; photosystem I subunit II	401	6
